City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Bela,IN,2022-09-24 03:51:30,25.9333,81.9833,84.06,74,88,6.62,overcast clouds
215,Mackay,AU,2022-09-24 03:51:31,-21.15,149.2,86.68,74,10,12.77,clear sky
216,Port-Gentil,GA,2022-09-24 03:51:31,-0.7193,8.7815,76.78,87,100,12.19,light rain
217,Mehamn,NO,2022-09-24 03:51:32,71.0357,27.8492,48.15,81,40,13.8,scattered clouds
218,Santa Marta,CO,2022-09-24 03:49:29,11.2408,-74.199,81.9,78,40,5.75,scattered clouds
219,Ahipara,NZ,2022-09-24 03:51:32,-35.1667,173.1667,60.15,73,25,11.52,scattered clouds
220,East London,ZA,2022-09-24 03:51:33,-33.0153,27.9116,59.94,100,100,6.91,overcast clouds
221,Hasaki,JP,2022-09-24 03:51:33,35.7333,140.8333,83.21,80,93,18.28,overcast clouds
222,Naron,ES,2022-09-24 03:51:34,43.5167,-8.1528,62.02,85,30,9.06,scattered clouds
223,Guymon,US,2022-09-24 03:51:34,36.6828,-101.4816,75.2,50,20,12.66,few clouds
224,Miri,MY,2022-09-24 03:47:26,4.4148,114.0089,87.94,70,40,4.61,scattered clouds
225,Kavieng,PG,2022-09-24 03:51:35,-2.5744,150.7967,85.03,66,99,14.76,overcast clouds
226,Kahului,US,2022-09-24 03:49:42,20.8947,-156.47,87.82,63,20,6.91,few clouds
227,Ola,RU,2022-09-24 03:51:35,59.5833,151.2833,53.15,46,2,1.66,clear sky
228,Changying,CN,2022-09-24 03:52:36,52.8733,123.3213,60.46,49,79,6.51,broken clouds
229,Menongue,AO,2022-09-24 03:52:36,-14.6585,17.691,64.69,37,63,3.91,broken clouds
230,Tonj,SS,2022-09-24 03:52:37,7.2737,28.6822,68.23,97,31,1.54,scattered clouds
231,Atbasar,KZ,2022-09-24 03:52:37,51.8,68.3333,72.81,38,9,7.72,clear sky
232,Avera,US,2022-09-24 03:52:37,33.194,-82.5271,55.45,44,0,4.41,clear sky
233,Springfield,US,2022-09-24 03:52:38,37.2153,-93.2982,72.23,64,67,5.01,broken clouds
234,Samarai,PG,2022-09-24 03:52:38,-10.6167,150.6667,82.11,75,82,9.73,broken clouds
235,La Virginia,CO,2022-09-24 03:52:39,4.8997,-75.8825,69.35,94,75,4.61,light intensity drizzle
236,Severo-Kurilsk,RU,2022-09-24 03:52:39,50.6789,156.125,54.3,76,100,4.12,overcast clouds
237,Upernavik,GL,2022-09-24 03:52:39,72.7868,-56.1549,27.54,66,37,7.61,scattered clouds
238,Owase,JP,2022-09-24 03:52:40,34.0667,136.2,83.82,60,6,2.17,clear sky
239,Burnie,AU,2022-09-24 03:52:40,-41.0667,145.9167,49.23,85,100,8.16,light rain
240,Lasa,IT,2022-09-24 03:52:41,46.6166,10.7002,54.48,90,100,2.53,overcast clouds
241,Chapais,CA,2022-09-24 03:52:41,49.7834,-74.8492,38.98,90,12,3.36,few clouds
242,Rio Gallegos,AR,2022-09-24 03:51:15,-51.6226,-69.2181,42.85,61,40,9.22,scattered clouds
243,Poum,NC,2022-09-24 03:52:42,-20.2333,164.0167,77.63,72,9,11.03,clear sky
244,Guasdualito,VE,2022-09-24 03:52:42,7.2424,-70.7324,78.8,100,62,3.44,broken clouds
245,Nkhotakota,MW,2022-09-24 03:52:43,-12.9274,34.2961,71.62,53,48,1.74,scattered clouds
246,Manono,CD,2022-09-24 03:52:43,-7.3,27.4167,75.99,63,94,3.27,overcast clouds
247,Kalinovo,RU,2022-09-24 03:52:44,57.1317,60.1464,51.58,82,99,6.6,overcast clouds
248,Ouesso,CG,2022-09-24 03:52:44,1.6136,16.0517,68.88,98,100,1.72,overcast clouds
249,Rawson,AR,2022-09-24 03:50:53,-43.3002,-65.1023,52.5,62,1,10.25,clear sky
250,Huimilpan,MX,2022-09-24 03:52:45,20.372,-100.2774,52.63,81,34,5.86,scattered clouds
251,Malakal,SS,2022-09-24 03:52:45,9.5334,31.6605,69.42,93,82,1.97,broken clouds
252,Fredericksburg,US,2022-09-24 03:48:05,38.3032,-77.4605,56.57,79,0,0.0,clear sky
