City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Korla,CN,2022-09-23 20:47:10,41.7597,86.1469,70.88,15,10,7.05
149,Miguelopolis,BR,2022-09-23 20:47:10,-20.1794,-48.0319,78.62,23,100,5.88
150,Castro,BR,2022-09-23 20:47:11,-24.7911,-50.0119,52.92,71,0,2.98
151,Pali,IN,2022-09-23 20:47:11,25.7667,73.3333,79.03,69,97,14.07
152,Mbandaka,CD,2022-09-23 20:47:12,0.0487,18.2603,71.91,94,100,3.6
153,Goderich,CA,2022-09-23 20:45:13,43.7501,-81.7165,57.9,51,4,9.22
154,Comodoro Rivadavia,AR,2022-09-23 20:47:12,-45.8667,-67.5,58.86,29,0,12.66
155,Matara,LK,2022-09-23 20:47:13,5.9485,80.5353,77.72,85,100,10.65
156,Huarmey,PE,2022-09-23 20:47:13,-10.0681,-78.1522,66.27,73,9,10.92
157,Akhisar,TR,2022-09-23 20:47:14,38.9185,27.8401,52.9,75,4,5.5
158,Hellvik,NO,2022-09-23 20:47:14,59.9156,5.781,53.78,91,6,1.01
159,Iqaluit,CA,2022-09-23 20:47:15,63.7506,-68.5145,38.93,51,75,15.01
160,Mehamn,NO,2022-09-23 20:47:15,71.0357,27.8492,49.91,81,0,10.36
161,Beloha,MG,2022-09-23 20:47:16,-25.1667,45.05,66.06,85,0,5.48
162,Cap-Aux-Meules,CA,2022-09-23 20:46:01,47.3821,-61.8597,51.85,93,100,17.27
163,Ashqelon,IL,2022-09-23 20:47:17,31.6693,34.5715,77.83,65,0,8.12
164,Falmouth,GB,2022-09-23 20:47:17,50.1544,-5.0711,58.1,82,77,8.05
165,Shamgarh,IN,2022-09-23 20:47:18,24.1833,75.6333,71.71,82,96,18.01
166,Batsfjord,NO,2022-09-23 20:47:18,70.6345,29.7185,49.93,81,0,16.11
167,Wysokie Mazowieckie,PL,2022-09-23 20:47:19,52.9166,22.5171,48.79,78,100,5.19
168,Marawi,PH,2022-09-23 20:47:19,7.9986,124.2928,68.72,93,100,2.73
169,Saint-Pierre,RE,2022-09-23 20:47:19,-21.3393,55.4781,69.48,78,0,4.61
170,Honningsvag,NO,2022-09-23 20:47:20,70.9821,25.9704,49.75,76,20,16.11
171,Puerto Colombia,CO,2022-09-23 20:47:20,10.9878,-74.9547,86.09,76,100,13.35
172,Sinnamary,GF,2022-09-23 20:47:21,5.3833,-52.95,81.63,73,5,8.59
173,La Asuncion,VE,2022-09-23 20:47:22,11.0333,-63.8628,96.53,52,44,13.8
174,Hickory,US,2022-09-23 20:47:23,35.7332,-81.3412,76.24,37,0,3.44
175,Glarus,CH,2022-09-23 20:47:23,47.0406,9.068,59.67,29,100,3.91
176,Kryry,CZ,2022-09-23 20:47:24,50.1744,13.4266,52.05,66,100,2.71
177,Dikson,RU,2022-09-23 20:47:24,73.5069,80.5464,32.47,76,100,19.86
178,Dingle,PH,2022-09-23 20:47:24,10.9995,122.6711,73.72,92,99,2.13
179,Quatre Cocos,MU,2022-09-23 20:47:25,-20.2078,57.7625,72.09,78,58,18.39
180,Abu Zabad,SD,2022-09-23 20:47:25,12.35,29.25,75.18,72,90,6.55
181,San Andres,CO,2022-09-23 20:47:26,12.5847,-81.7006,84.22,74,40,4.61
182,Mizan Teferi,ET,2022-09-23 20:47:26,6.9833,35.5833,58.89,96,58,3.06
183,Taltal,CL,2022-09-23 20:48:13,-25.4,-70.4833,61.03,64,22,3.67
184,Praia Da Vitoria,PT,2022-09-23 20:48:27,38.7333,-27.0667,74.75,88,75,21.16
185,Weinfelden,CH,2022-09-23 20:48:27,47.5667,9.1,58.03,87,100,2.84
186,Abha,SA,2022-09-23 20:48:28,18.2164,42.5053,71.42,68,20,0.0
187,Shaumiani,GE,2022-09-23 20:48:28,41.3527,44.7618,60.62,69,1,4.52
188,Nouadhibou,MR,2022-09-23 20:47:31,20.931,-17.0347,75.18,83,20,13.8
189,Balykshi,KZ,2022-09-23 20:48:29,47.0667,51.8667,68.0,83,32,8.95
190,Jaisalmer,IN,2022-09-23 20:48:29,26.9147,70.9181,84.81,56,82,17.67
191,Mega,ET,2022-09-23 20:48:30,4.05,38.3,63.54,46,44,15.88
192,Mahon,ES,2022-09-23 20:48:30,39.8885,4.2658,72.16,60,0,8.05
193,Sault Sainte Marie,CA,2022-09-23 20:44:19,46.5168,-84.3333,62.89,48,0,6.91
